"Product", "Region", "Volume", "Currency"
"SmartPhone V0", "North America", "3281587", "USD"
"SmartPhone V0", "Middle America", "1901525", "USD"
"SmartPhone V0", "South America", "8412812", "USD"
"SmartPhone V0", "West Europe", "8254193", "USD"
"SmartPhone V0", "Central Europe", "3802744", "USD"
"SmartPhone V0", "East Europe", "8829904", "USD"
"SmartPhone V0", "North Africa", "4640066", "USD"
"SmartPhone V0", "Central Africa", "4881596", "USD"
"SmartPhone V0", "East Africa", "9503945", "USD"
"SmartPhone V0", "Central Asia", "8570003", "USD"
"SmartPhone V0", "North Asia", "7663272", "USD"
"SmartPhone V0", "Asia Pacific", "3601836", "USD"
"SmartPhone V0", "China", "9118424", "USD"
"SmartPhone V0", "India", "664490", "USD"
"SmartPhone 1DX", "North America", "801638", "USD"
"SmartPhone 1DX", "Middle America", "6467253", "USD"
"SmartPhone 1DX", "South America", "2555325", "USD"
"SmartPhone 1DX", "West Europe", "6954116", "USD"
"SmartPhone 1DX", "Central Europe", "3860021", "USD"
"SmartPhone 1DX", "East Europe", "9220904", "USD"
"SmartPhone 1DX", "North Africa", "6013545", "USD"
"SmartPhone 1DX", "Central Africa", "6843741", "USD"
"SmartPhone 1DX", "East Africa", "8955171", "USD"
"SmartPhone 1DX", "Central Asia", "5107211", "USD"
"SmartPhone 1DX", "North Asia", "9224189", "USD"
"SmartPhone 1DX", "Asia Pacific", "5315634", "USD"
"SmartPhone 1DX", "China", "7838411", "USD"
"SmartPhone 1DX", "India", "6692482", "USD"
"SmartPhone MX2", "North America", "9028481", "USD"
"SmartPhone MX2", "Middle America", "4940356", "USD"
"SmartPhone MX2", "South America", "2778052", "USD"
"SmartPhone MX2", "West Europe", "4372385", "USD"
"SmartPhone MX2", "Central Europe", "3663998", "USD"
"SmartPhone MX2", "East Europe", "5567177", "USD"
"SmartPhone MX2", "North Africa", "3387096", "USD"
"SmartPhone MX2", "Central Africa", "9081318", "USD"
"SmartPhone MX2", "East Africa", "5110606", "USD"
"SmartPhone MX2", "Central Asia", "3120102", "USD"
"SmartPhone MX2", "North Asia", "9916560", "USD"
"SmartPhone MX2", "Asia Pacific", "5869023", "USD"
"SmartPhone MX2", "China", "2638499", "USD"
"SmartPhone MX2", "India", "1982247", "USD"
"SmartPhone U3R", "North America", "9482002", "USD"
"SmartPhone U3R", "Middle America", "4472673", "USD"
"SmartPhone U3R", "South America", "9304232", "USD"
"SmartPhone U3R", "West Europe", "3820417", "USD"
"SmartPhone U3R", "Central Europe", "5450613", "USD"
"SmartPhone U3R", "East Europe", "2788068", "USD"
"SmartPhone U3R", "North Africa", "4556701", "USD"
"SmartPhone U3R", "Central Africa", "9383409", "USD"
"SmartPhone U3R", "East Africa", "1788490", "USD"
"SmartPhone U3R", "Central Asia", "9231450", "USD"
"SmartPhone U3R", "North Asia", "343492", "USD"
"SmartPhone U3R", "Asia Pacific", "8801684", "USD"
"SmartPhone U3R", "China", "3552484", "USD"
"SmartPhone U3R", "India", "383836", "USD"
"SmartPhone X4", "North America", "5149069", "USD"
"SmartPhone X4", "Middle America", "222684", "USD"
"SmartPhone X4", "South America", "1908267", "USD"
"SmartPhone X4", "West Europe", "1022685", "USD"
"SmartPhone X4", "Central Europe", "249757", "USD"
"SmartPhone X4", "East Europe", "6235256", "USD"
"SmartPhone X4", "North Africa", "7066048", "USD"
"SmartPhone X4", "Central Africa", "4671072", "USD"
"SmartPhone X4", "East Africa", "5136533", "USD"
"SmartPhone X4", "Central Asia", "2468215", "USD"
"SmartPhone X4", "North Asia", "5347610", "USD"
"SmartPhone X4", "Asia Pacific", "4132447", "USD"
"SmartPhone X4", "China", "4535111", "USD"
"SmartPhone X4", "India", "2992286", "USD"
"SmartPhone G5T", "North America", "7233128", "USD"
"SmartPhone G5T", "Middle America", "3129463", "USD"
"SmartPhone G5T", "South America", "7743843", "USD"
"SmartPhone G5T", "West Europe", "2711270", "USD"
"SmartPhone G5T", "Central Europe", "1683473", "USD"
"SmartPhone G5T", "East Europe", "2128216", "USD"
"SmartPhone G5T", "North Africa", "2113484", "USD"
"SmartPhone G5T", "Central Africa", "7797417", "USD"
"SmartPhone G5T", "East Africa", "8293495", "USD"
"SmartPhone G5T", "Central Asia", "3704654", "USD"
"SmartPhone G5T", "North Asia", "6408855", "USD"
"SmartPhone G5T", "Asia Pacific", "1407651", "USD"
"SmartPhone G5T", "China", "2904020", "USD"
"SmartPhone G5T", "India", "5397805", "USD"
"SmartPhone HU6", "North America", "6520983", "USD"
"SmartPhone HU6", "Middle America", "3411415", "USD"
"SmartPhone HU6", "South America", "4185083", "USD"
"SmartPhone HU6", "West Europe", "894835", "USD"
"SmartPhone HU6", "Central Europe", "5539300", "USD"
"SmartPhone HU6", "East Europe", "9667554", "USD"
"SmartPhone HU6", "North Africa", "8400168", "USD"
"SmartPhone HU6", "Central Africa", "3605882", "USD"
"SmartPhone HU6", "East Africa", "2546987", "USD"
"SmartPhone HU6", "Central Asia", "8506785", "USD"
"SmartPhone HU6", "North Asia", "7071000", "USD"
"SmartPhone HU6", "Asia Pacific", "211960", "USD"
"SmartPhone HU6", "China", "9668600", "USD"
"SmartPhone HU6", "India", "9507961", "USD"
"SmartTablet V0", "North America", "7584697", "USD"
"SmartTablet V0", "Middle America", "5607153", "USD"
"SmartTablet V0", "South America", "4877577", "USD"
"SmartTablet V0", "West Europe", "2400449", "USD"
"SmartTablet V0", "Central Europe", "9919866", "USD"
"SmartTablet V0", "East Europe", "4806672", "USD"
"SmartTablet V0", "North Africa", "8862300", "USD"
"SmartTablet V0", "Central Africa", "1981617", "USD"
"SmartTablet V0", "East Africa", "3615470", "USD"
"SmartTablet V0", "Central Asia", "1855283", "USD"
"SmartTablet V0", "North Asia", "7852852", "USD"
"SmartTablet V0", "Asia Pacific", "8307536", "USD"
"SmartTablet V0", "China", "7866076", "USD"
"SmartTablet V0", "India", "545970", "USD"
"SmartTablet 1DX", "North America", "726660", "USD"
"SmartTablet 1DX", "Middle America", "10096655", "USD"
"SmartTablet 1DX", "South America", "4199363", "USD"
"SmartTablet 1DX", "West Europe", "6846595", "USD"
"SmartTablet 1DX", "Central Europe", "7939702", "USD"
"SmartTablet 1DX", "East Europe", "3280360", "USD"
"SmartTablet 1DX", "North Africa", "5576517", "USD"
"SmartTablet 1DX", "Central Africa", "8332718", "USD"
"SmartTablet 1DX", "East Africa", "1870998", "USD"
"SmartTablet 1DX", "Central Asia", "5940938", "USD"
"SmartTablet 1DX", "North Asia", "7953425", "USD"
"SmartTablet 1DX", "Asia Pacific", "1637630", "USD"
"SmartTablet 1DX", "China", "3021600", "USD"
"SmartTablet 1DX", "India", "5496639", "USD"
"SmartTablet MX2", "North America", "350327", "USD"
"SmartTablet MX2", "Middle America", "4956018", "USD"
"SmartTablet MX2", "South America", "4175321", "USD"
"SmartTablet MX2", "West Europe", "3925164", "USD"
"SmartTablet MX2", "Central Europe", "7299868", "USD"
"SmartTablet MX2", "East Europe", "8975618", "USD"
"SmartTablet MX2", "North Africa", "5106966", "USD"
"SmartTablet MX2", "Central Africa", "2061012", "USD"
"SmartTablet MX2", "East Africa", "3178247", "USD"
"SmartTablet MX2", "Central Asia", "6261543", "USD"
"SmartTablet MX2", "North Asia", "3714817", "USD"
"SmartTablet MX2", "Asia Pacific", "4558824", "USD"
"SmartTablet MX2", "China", "1371424", "USD"
"SmartTablet MX2", "India", "6080928", "USD"
"SmartTablet U3R", "North America", "5557680", "USD"
"SmartTablet U3R", "Middle America", "2983936", "USD"
"SmartTablet U3R", "South America", "2488126", "USD"
"SmartTablet U3R", "West Europe", "8930870", "USD"
"SmartTablet U3R", "Central Europe", "2692773", "USD"
"SmartTablet U3R", "East Europe", "5673045", "USD"
"SmartTablet U3R", "North Africa", "4903641", "USD"
"SmartTablet U3R", "Central Africa", "2620560", "USD"
"SmartTablet U3R", "East Africa", "4439295", "USD"
"SmartTablet U3R", "Central Asia", "9502005", "USD"
"SmartTablet U3R", "North Asia", "7803155", "USD"
"SmartTablet U3R", "Asia Pacific", "9658894", "USD"
"SmartTablet U3R", "China", "7233480", "USD"
"SmartTablet U3R", "India", "504405", "USD"
"SmartTablet X4", "North America", "1590685", "USD"
"SmartTablet X4", "Middle America", "3911732", "USD"
"SmartTablet X4", "South America", "8094517", "USD"
"SmartTablet X4", "West Europe", "7403766", "USD"
"SmartTablet X4", "Central Europe", "3039369", "USD"
"SmartTablet X4", "East Europe", "3018364", "USD"
"SmartTablet X4", "North Africa", "6386675", "USD"
"SmartTablet X4", "Central Africa", "4553763", "USD"
"SmartTablet X4", "East Africa", "2881199", "USD"
"SmartTablet X4", "Central Asia", "1894644", "USD"
"SmartTablet X4", "North Asia", "1541517", "USD"
"SmartTablet X4", "Asia Pacific", "8525092", "USD"
"SmartTablet X4", "China", "1669008", "USD"
"SmartTablet X4", "India", "1800626", "USD"
"SmartTablet G5T", "North America", "195111", "USD"
"SmartTablet G5T", "Middle America", "5634187", "USD"
"SmartTablet G5T", "South America", "5690796", "USD"
"SmartTablet G5T", "West Europe", "8913456", "USD"
"SmartTablet G5T", "Central Europe", "4798630", "USD"
"SmartTablet G5T", "East Europe", "6078168", "USD"
"SmartTablet G5T", "North Africa", "8476277", "USD"
"SmartTablet G5T", "Central Africa", "6121617", "USD"
"SmartTablet G5T", "East Africa", "7176782", "USD"
"SmartTablet G5T", "Central Asia", "4022020", "USD"
"SmartTablet G5T", "North Asia", "5007730", "USD"
"SmartTablet G5T", "Asia Pacific", "1844570", "USD"
"SmartTablet G5T", "China", "4737008", "USD"
"SmartTablet G5T", "India", "1978160", "USD"
"SmartTablet HU6", "North America", "5132078", "USD"
"SmartTablet HU6", "Middle America", "10082183", "USD"
"SmartTablet HU6", "South America", "4073397", "USD"
"SmartTablet HU6", "West Europe", "2125169", "USD"
"SmartTablet HU6", "Central Europe", "9868324", "USD"
"SmartTablet HU6", "East Europe", "6611250", "USD"
"SmartTablet HU6", "North Africa", "6562801", "USD"
"SmartTablet HU6", "Central Africa", "6831633", "USD"
"SmartTablet HU6", "East Africa", "9314273", "USD"
"SmartTablet HU6", "Central Asia", "7271785", "USD"
"SmartTablet HU6", "North Asia", "3216641", "USD"
"SmartTablet HU6", "Asia Pacific", "5582657", "USD"
"SmartTablet HU6", "China", "3678718", "USD"
"SmartTablet HU6", "India", "5623673", "USD"
"SmartGlass V0", "North America", "1530396", "USD"
"SmartGlass V0", "Middle America", "5750764", "USD"
"SmartGlass V0", "South America", "9600046", "USD"
"SmartGlass V0", "West Europe", "8904644", "USD"
"SmartGlass V0", "Central Europe", "5363807", "USD"
"SmartGlass V0", "East Europe", "209525", "USD"
"SmartGlass V0", "North Africa", "2359478", "USD"
"SmartGlass V0", "Central Africa", "3183439", "USD"
"SmartGlass V0", "East Africa", "9988321", "USD"
"SmartGlass V0", "Central Asia", "5657431", "USD"
"SmartGlass V0", "North Asia", "856915", "USD"
"SmartGlass V0", "Asia Pacific", "877399", "USD"
"SmartGlass V0", "China", "8354341", "USD"
"SmartGlass V0", "India", "1701118", "USD"
"SmartGlass 1DX", "North America", "6289655", "USD"
"SmartGlass 1DX", "Middle America", "6391642", "USD"
"SmartGlass 1DX", "South America", "1359333", "USD"
"SmartGlass 1DX", "West Europe", "2241231", "USD"
"SmartGlass 1DX", "Central Europe", "7358969", "USD"
"SmartGlass 1DX", "East Europe", "8537337", "USD"
"SmartGlass 1DX", "North Africa", "4438881", "USD"
"SmartGlass 1DX", "Central Africa", "7510846", "USD"
"SmartGlass 1DX", "East Africa", "4526842", "USD"
"SmartGlass 1DX", "Central Asia", "1599522", "USD"
"SmartGlass 1DX", "North Asia", "5156288", "USD"
"SmartGlass 1DX", "Asia Pacific", "7235490", "USD"
"SmartGlass 1DX", "China", "3354889", "USD"
"SmartGlass 1DX", "India", "450251", "USD"
"SmartGlass MX2", "North America", "1632335", "USD"
"SmartGlass MX2", "Middle America", "2815467", "USD"
"SmartGlass MX2", "South America", "2279793", "USD"
"SmartGlass MX2", "West Europe", "8940800", "USD"
"SmartGlass MX2", "Central Europe", "9635328", "USD"
"SmartGlass MX2", "East Europe", "9175327", "USD"
"SmartGlass MX2", "North Africa", "3314306", "USD"
"SmartGlass MX2", "Central Africa", "4957005", "USD"
"SmartGlass MX2", "East Africa", "6942577", "USD"
"SmartGlass MX2", "Central Asia", "4981947", "USD"
"SmartGlass MX2", "North Asia", "5110171", "USD"
"SmartGlass MX2", "Asia Pacific", "9984733", "USD"
"SmartGlass MX2", "China", "7187970", "USD"
"SmartGlass MX2", "India", "3301843", "USD"
"SmartGlass U3R", "North America", "6579073", "USD"
"SmartGlass U3R", "Middle America", "5807848", "USD"
"SmartGlass U3R", "South America", "1826314", "USD"
"SmartGlass U3R", "West Europe", "3449983", "USD"
"SmartGlass U3R", "Central Europe", "5839978", "USD"
"SmartGlass U3R", "East Europe", "6048953", "USD"
"SmartGlass U3R", "North Africa", "8073641", "USD"
"SmartGlass U3R", "Central Africa", "8776481", "USD"
"SmartGlass U3R", "East Africa", "3646007", "USD"
"SmartGlass U3R", "Central Asia", "5663550", "USD"
"SmartGlass U3R", "North Asia", "2723683", "USD"
"SmartGlass U3R", "Asia Pacific", "4444229", "USD"
"SmartGlass U3R", "China", "2641245", "USD"
"SmartGlass U3R", "India", "7211172", "USD"
"SmartGlass X4", "North America", "6594234", "USD"
"SmartGlass X4", "Middle America", "3869637", "USD"
"SmartGlass X4", "South America", "3807656", "USD"
"SmartGlass X4", "West Europe", "8752430", "USD"
